feature,coefficient,abs_coefficient
time_idx,12.361533621501929,12.361533621501929
tempmax,11.882557132665559,11.882557132665559
weekday,6.933107477936938,6.933107477936938
precipcover,-5.842406492471732,5.842406492471732
sunset_minutes,5.162677095114578,5.162677095114578
station_31258.0,4.711046326562718,4.711046326562718
station_31229.0,4.075780385391722,4.075780385391722
station_31201.0,3.064569831107417,3.064569831107417
station_31247.0,2.727538270871369,2.727538270871369
month,2.615608136736745,2.615608136736745
uvindex,2.5059944808686354,2.5059944808686354
station_31288.0,2.2588572826410154,2.2588572826410154
station_31603.0,1.8959193938060923,1.8959193938060923
windspeed,-1.7979206855352448,1.7979206855352448
station_31623.0,1.6299078717505158,1.6299078717505158
station_31627.0,-1.3852988521035237,1.3852988521035237
station_31214.0,-1.1112614276052903,1.1112614276052903
station_31203.0,-1.0126306746164195,1.0126306746164195
precip,-1.0044019848167196,1.0044019848167196
station_31125.0,-0.7115996742928224,0.7115996742928224
station_31202.0,-0.5767953214894729,0.5767953214894729
station_31289.0,0.48353436894814633,0.48353436894814633
station_31248.0,0.43041550081820096,0.43041550081820096
station_31266.0,-0.1137667622083884,0.1137667622083884
station_31281.0,-0.04904911067312168,0.04904911067312168
humidity,-0.0032983556103336393,0.0032983556103336393
station_31613.0,-0.0,0.0
station_31600.0,-0.0,0.0
visibility,0.0,0.0
cloudcover,-0.0,0.0
snowdepth,-0.0,0.0
sealevelpressure,0.0,0.0
year,0.0,0.0
snow,-0.0,0.0
station_31200.0,-0.0,0.0
